"Plot Title: upstream_test"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","Stopped (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
348,07/21/21 01:35:00 PM,40.5,7.23,,,,,
349,07/21/21 01:35:10 PM,40.1,7.23,,,,,
350,07/21/21 01:35:20 PM,40.5,7.22,,,,,
351,07/21/21 01:35:30 PM,40.1,7.22,,,,,
352,07/21/21 01:35:40 PM,40.5,7.22,,,,,
353,07/21/21 01:35:50 PM,40.5,7.23,,,,,
354,07/21/21 01:36:00 PM,40.1,7.23,,,,,
355,07/21/21 01:36:10 PM,40.5,7.23,,,,,
356,07/21/21 01:36:20 PM,40.5,7.23,,,,,
357,07/21/21 01:36:30 PM,40.5,7.23,,,,,
358,07/21/21 01:36:40 PM,40.5,7.23,,,,,
359,07/21/21 01:36:50 PM,40.5,7.23,,,,,
360,07/21/21 01:37:00 PM,40.1,7.22,,,,,
361,07/21/21 01:37:10 PM,40.1,7.22,,,,,
362,07/21/21 01:37:20 PM,40.1,7.23,,,,,
363,07/21/21 01:37:30 PM,40.1,7.23,,,,,
364,07/21/21 01:37:40 PM,40.1,7.22,,,,,
365,07/21/21 01:37:50 PM,40.1,7.23,,,,,
366,07/21/21 01:38:00 PM,40.5,7.23,,,,,
367,07/21/21 01:38:10 PM,40.1,7.22,,,,,
368,07/21/21 01:38:20 PM,40.1,7.23,,,,,
369,07/21/21 01:38:30 PM,40.1,7.22,,,,,
370,07/21/21 01:38:40 PM,40.5,7.22,,,,,
371,07/21/21 01:38:50 PM,40.1,7.22,,,,,
372,07/21/21 01:39:00 PM,40.1,7.25,,,,,
373,07/21/21 01:39:10 PM,40.5,7.23,,,,,
374,07/21/21 01:39:20 PM,40.5,7.23,,,,,
375,07/21/21 01:39:30 PM,40.5,7.23,,,,,
376,07/21/21 01:39:40 PM,40.5,7.23,,,,,
377,07/21/21 01:39:50 PM,40.1,7.23,,,,,
378,07/21/21 01:40:00 PM,40.5,7.22,,,,,
379,07/21/21 01:40:10 PM,40.5,7.23,,,,,
380,07/21/21 01:40:20 PM,40.1,7.23,,,,,
381,07/21/21 01:40:30 PM,40.1,7.22,,,,,
382,07/21/21 01:40:40 PM,40.1,7.23,,,,,
383,07/21/21 01:40:50 PM,40.5,7.23,,,,,
384,07/21/21 01:41:00 PM,40.1,7.25,,,,,
385,07/21/21 01:41:10 PM,40.1,7.23,,,,,
386,07/21/21 01:41:20 PM,40.5,7.25,,,,,
387,07/21/21 01:41:30 PM,40.5,7.23,,,,,
388,07/21/21 01:41:40 PM,40.5,7.25,,,,,
389,07/21/21 01:41:50 PM,40.1,7.25,,,,,
390,07/21/21 01:42:00 PM,40.1,7.26,,,,,
391,07/21/21 01:42:10 PM,40.5,7.23,,,,,
392,07/21/21 01:42:20 PM,40.1,7.23,,,,,
393,07/21/21 01:42:30 PM,40.5,7.23,,,,,
394,07/21/21 01:42:40 PM,40.1,7.23,,,,,
395,07/21/21 01:42:50 PM,40.5,7.25,,,,,
396,07/21/21 01:43:00 PM,40.1,7.25,,,,,
397,07/21/21 01:43:10 PM,40.5,7.23,,,,,
398,07/21/21 01:43:20 PM,40.5,7.25,,,,,
399,07/21/21 01:43:30 PM,40.5,7.25,,,,,
400,07/21/21 01:43:40 PM,40.1,7.25,,,,,
401,07/21/21 01:43:50 PM,40.5,7.26,,,,,
402,07/21/21 01:44:00 PM,40.1,7.25,,,,,
403,07/21/21 01:44:10 PM,40.1,7.26,,,,,
404,07/21/21 01:44:20 PM,40.5,7.26,,,,,
405,07/21/21 01:44:30 PM,40.5,7.25,,,,,
406,07/21/21 01:44:40 PM,4.9,7.37,,,,,
407,07/21/21 01:44:50 PM,6.1,7.85,,,,,
408,07/21/21 01:45:00 PM,6.1,8.11,,,,,
409,07/21/21 01:45:10 PM,6.1,8.03,,,,,
410,07/21/21 01:45:20 PM,6.5,8.05,,,,,
411,07/21/21 01:45:30 PM,31.5,8.16,,,,,
412,07/21/21 01:45:40 PM,31.5,8.13,,,,,
413,07/21/21 01:45:50 PM,31.5,8.11,,,,,
414,07/21/21 01:46:00 PM,31.5,8.12,,,,,
415,07/21/21 01:46:10 PM,31.5,8.16,,,,,
416,07/21/21 01:46:20 PM,31.5,8.19,,,,,
417,07/21/21 01:46:30 PM,31.8,8.25,,,,,
418,07/21/21 01:46:40 PM,31.5,8.30,,,,,
419,07/21/21 01:46:50 PM,31.4,8.35,,,,,
420,07/21/21 01:47:00 PM,31.8,8.42,,,,,
421,07/21/21 01:47:10 PM,31.8,8.48,,,,,
422,07/21/21 01:47:20 PM,31.4,8.52,,,,,
423,07/21/21 01:47:30 PM,31.8,8.56,,,,,
424,07/21/21 01:47:40 PM,31.8,8.58,,,,,
425,07/21/21 01:47:50 PM,32.2,8.63,,,,,
426,07/21/21 01:48:00 PM,31.8,8.67,,,,,
427,07/21/21 01:48:10 PM,31.8,8.70,,,,,
428,07/21/21 01:48:20 PM,32.2,8.74,,,,,
429,07/21/21 01:48:30 PM,32.2,8.77,,,,,
430,07/21/21 01:48:40 PM,32.2,8.81,,,,,
431,07/21/21 01:48:50 PM,32.2,8.84,,,,,
432,07/21/21 01:49:00 PM,32.2,8.88,,,,,
433,07/21/21 01:49:10 PM,32.2,8.91,,,,,
