Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0,000000 kPa
TEMPERATURE
UNIT: °C
Date;Time;ms;Station01;TEMPERATURE
1 ene. 2022;11:30:00;0;64,0711;10,130
1 ene. 2022;11:45:00;0;64,0709;10,176
1 ene. 2022;12:00:00;0;64,0703;10,215
1 ene. 2022;12:15:00;0;64,0695;10,252
1 ene. 2022;12:30:00;0;64,0423;10,287
1 ene. 2022;12:45:00;0;64,0346;10,320
1 ene. 2022;13:00:00;0;64,0321;10,347
1 ene. 2022;13:15:00;0;64,0212;10,373
1 ene. 2022;13:30:00;0;64,0191;10,398
1 ene. 2022;13:45:00;0;63,9944;10,421
1 ene. 2022;14:00:00;0;63,9779;10,447
1 ene. 2022;14:15:00;0;63,9591;10,470
1 ene. 2022;14:30:00;0;63,9550;10,491
1 ene. 2022;14:45:00;0;63,9384;10,507
1 ene. 2022;15:00:00;0;63,9320;10,519
1 ene. 2022;15:15:00;0;63,9271;10,529
1 ene. 2022;15:30:00;0;63,9116;10,533
1 ene. 2022;15:45:00;0;63,9271;10,536
1 ene. 2022;16:00:00;0;63,9002;10,537
1 ene. 2022;16:15:00;0;63,9004;10,541
1 ene. 2022;16:30:00;0;63,8920;10,539
1 ene. 2022;16:45:00;0;63,9119;10,541
1 ene. 2022;17:00:00;0;63,9066;10,542
1 ene. 2022;17:15:00;0;63,9233;10,541
1 ene. 2022;17:30:00;0;63,9298;10,533
1 ene. 2022;17:45:00;0;63,9419;10,526
1 ene. 2022;18:00:00;0;63,9384;10,518
1 ene. 2022;18:15:00;0;63,9449;10,501
1 ene. 2022;18:30:00;0;63,9563;10,481
1 ene. 2022;18:45:00;0;63,9725;10,458
1 ene. 2022;19:00:00;0;63,9850;10,434
1 ene. 2022;19:15:00;0;63,9878;10,413
1 ene. 2022;19:30:00;0;63,9989;10,388
1 ene. 2022;19:45:00;0;64,0162;10,364
1 ene. 2022;20:00:00;0;64,0334;10,343
1 ene. 2022;20:15:00;0;64,0407;10,320
1 ene. 2022;20:30:00;0;64,0630;10,291
1 ene. 2022;20:45:00;0;64,0729;10,261
1 ene. 2022;21:00:00;0;64,0830;10,238
1 ene. 2022;21:15:00;0;64,0916;10,206
1 ene. 2022;21:30:00;0;64,0992;10,154
1 ene. 2022;21:45:00;0;64,1231;10,128
1 ene. 2022;22:00:00;0;64,1110;10,103
1 ene. 2022;22:15:00;0;64,1206;10,096
1 ene. 2022;22:30:00;0;64,1224;10,087
1 ene. 2022;22:45:00;0;64,1181;10,072
1 ene. 2022;23:00:00;0;64,1142;10,055
1 ene. 2022;23:15:00;0;64,1109;10,023
1 ene. 2022;23:30:00;0;64,0994;9,994
1 ene. 2022;23:45:00;0;64,0700;9,956
2 ene. 2022;00:00:00;0;64,0768;9,929
2 ene. 2022;00:15:00;0;64,0607;9,895
2 ene. 2022;00:30:00;0;64,0417;9,869
2 ene. 2022;00:45:00;0;64,0193;9,846
2 ene. 2022;01:00:00;0;63,9972;9,829
2 ene. 2022;01:15:00;0;63,9783;9,810
2 ene. 2022;01:30:00;0;63,9661;9,785
2 ene. 2022;01:45:00;0;63,9506;9,757
2 ene. 2022;02:00:00;0;63,9465;9,724
2 ene. 2022;02:15:00;0;63,9377;9,696
2 ene. 2022;02:30:00;0;63,9200;9,689
2 ene. 2022;02:45:00;0;63,9143;9,667
2 ene. 2022;03:00:00;0;63,9121;9,643
2 ene. 2022;03:15:00;0;63,9170;9,627
2 ene. 2022;03:30:00;0;63,9176;9,628
2 ene. 2022;03:45:00;0;63,9129;9,593
2 ene. 2022;04:00:00;0;63,9165;9,561
2 ene. 2022;04:15:00;0;63,9234;9,544
2 ene. 2022;04:30:00;0;63,9229;9,529
2 ene. 2022;04:45:00;0;63,9227;9,510
2 ene. 2022;05:00:00;0;63,9387;9,476
2 ene. 2022;05:15:00;0;63,9433;9,456
2 ene. 2022;05:30:00;0;63,9555;9,432
2 ene. 2022;05:45:00;0;63,9736;9,407
2 ene. 2022;06:00:00;0;63,9782;9,385
2 ene. 2022;06:15:00;0;63,9867;9,360
2 ene. 2022;06:30:00;0;64,0063;9,335
2 ene. 2022;06:45:00;0;64,0258;9,319
2 ene. 2022;07:00:00;0;64,0365;9,319
2 ene. 2022;07:15:00;0;64,0480;9,328
2 ene. 2022;07:30:00;0;64,0672;9,336
2 ene. 2022;07:45:00;0;64,0815;9,346
2 ene. 2022;08:00:00;0;64,0974;9,370
2 ene. 2022;08:15:00;0;64,1074;9,395
2 ene. 2022;08:30:00;0;64,1203;9,438
2 ene. 2022;08:45:00;0;64,1328;9,482
2 ene. 2022;09:00:00;0;64,1437;9,527
2 ene. 2022;09:15:00;0;64,1568;9,570
2 ene. 2022;09:30:00;0;64,1548;9,610
2 ene. 2022;09:45:00;0;64,1433;9,651
2 ene. 2022;10:00:00;0;64,1345;9,691
2 ene. 2022;10:15:00;0;64,1258;9,731
2 ene. 2022;10:30:00;0;64,1270;9,777
2 ene. 2022;10:45:00;0;64,1280;9,824
2 ene. 2022;11:00:00;0;64,1343;9,872
2 ene. 2022;11:15:00;0;64,1341;9,922
2 ene. 2022;11:30:00;0;64,1268;9,969
2 ene. 2022;11:45:00;0;64,1329;10,016
2 ene. 2022;12:00:00;0;64,1371;10,064
2 ene. 2022;12:15:00;0;64,1313;10,112
2 ene. 2022;12:30:00;0;64,1184;10,153
2 ene. 2022;12:45:00;0;64,0957;10,187
2 ene. 2022;13:00:00;0;64,0948;10,215
2 ene. 2022;13:15:00;0;64,0907;10,234
2 ene. 2022;13:30:00;0;64,0801;10,247
2 ene. 2022;13:45:00;0;64,0687;10,255
2 ene. 2022;14:00:00;0;64,0650;10,262
2 ene. 2022;14:15:00;0;64,0579;10,264
2 ene. 2022;14:30:00;0;64,0409;10,262
2 ene. 2022;14:45:00;0;64,0358;10,256
2 ene. 2022;15:00:00;0;64,0385;10,252
2 ene. 2022;15:15:00;0;64,0303;10,247
2 ene. 2022;15:30:00;0;64,0233;10,243
2 ene. 2022;15:45:00;0;64,0206;10,241
2 ene. 2022;16:00:00;0;64,0162;10,236
2 ene. 2022;16:15:00;0;64,0121;10,231
2 ene. 2022;16:30:00;0;64,0290;10,224
2 ene. 2022;16:45:00;0;64,0385;10,216
2 ene. 2022;17:00:00;0;64,0355;10,209
2 ene. 2022;17:15:00;0;64,0311;10,204
2 ene. 2022;17:30:00;0;64,0445;10,200
2 ene. 2022;17:45:00;0;64,0566;10,197
2 ene. 2022;18:00:00;0;64,0623;10,191
2 ene. 2022;18:15:00;0;64,0851;10,181
2 ene. 2022;18:30:00;0;64,0896;10,166
2 ene. 2022;18:45:00;0;64,1101;10,149
2 ene. 2022;19:00:00;0;64,1090;10,132
2 ene. 2022;19:15:00;0;64,1244;10,112
2 ene. 2022;19:30:00;0;64,1434;10,094
2 ene. 2022;19:45:00;0;64,1567;10,080
2 ene. 2022;20:00:00;0;64,1736;10,064
2 ene. 2022;20:15:00;0;64,1931;10,048
2 ene. 2022;20:30:00;0;64,1978;10,028
2 ene. 2022;20:45:00;0;64,1998;10,006
2 ene. 2022;21:00:00;0;64,2040;9,978
2 ene. 2022;21:15:00;0;64,2013;9,949
2 ene. 2022;21:30:00;0;64,2168;9,917
2 ene. 2022;21:45:00;0;64,2299;9,875
2 ene. 2022;22:00:00;0;64,2324;9,823
2 ene. 2022;22:15:00;0;64,2253;9,778
2 ene. 2022;22:30:00;0;64,2187;9,722
2 ene. 2022;22:45:00;0;64,2080;9,648
2 ene. 2022;23:00:00;0;64,2093;9,607
2 ene. 2022;23:15:00;0;64,2105;9,588
2 ene. 2022;23:30:00;0;64,2030;9,583
2 ene. 2022;23:45:00;0;64,1909;9,588
3 ene. 2022;00:00:00;0;64,1686;9,590
3 ene. 2022;00:15:00;0;64,1546;9,569
3 ene. 2022;00:30:00;0;64,1394;9,561
3 ene. 2022;00:45:00;0;64,1307;9,513
3 ene. 2022;01:00:00;0;64,1226;9,447
3 ene. 2022;01:15:00;0;64,1127;9,404
3 ene. 2022;01:30:00;0;64,0927;9,365
3 ene. 2022;01:45:00;0;64,0795;9,331
3 ene. 2022;02:00:00;0;64,0674;9,271
3 ene. 2022;02:15:00;0;64,0534;9,245
3 ene. 2022;02:30:00;0;64,0418;9,234
3 ene. 2022;02:45:00;0;64,0235;9,217
3 ene. 2022;03:00:00;0;64,0176;9,204
3 ene. 2022;03:15:00;0;64,0191;9,200
3 ene. 2022;03:30:00;0;64,0137;9,186
3 ene. 2022;03:45:00;0;64,0085;9,174
3 ene. 2022;04:00:00;0;64,0061;9,150
3 ene. 2022;04:15:00;0;64,0187;9,140
3 ene. 2022;04:30:00;0;64,0306;9,120
3 ene. 2022;04:45:00;0;64,0441;9,092
3 ene. 2022;05:00:00;0;64,0563;9,063
3 ene. 2022;05:15:00;0;64,0639;9,040
3 ene. 2022;05:30:00;0;64,0679;9,023
3 ene. 2022;05:45:00;0;64,0674;9,035
3 ene. 2022;06:00:00;0;64,0785;9,043
3 ene. 2022;06:15:00;0;64,0919;9,033
3 ene. 2022;06:30:00;0;64,1036;9,024
3 ene. 2022;06:45:00;0;64,1154;9,012
3 ene. 2022;07:00:00;0;64,1353;8,999
3 ene. 2022;07:15:00;0;64,1506;8,985
3 ene. 2022;07:30:00;0;64,1645;8,973
3 ene. 2022;07:45:00;0;64,1796;8,971
3 ene. 2022;08:00:00;0;64,1859;8,991
3 ene. 2022;08:15:00;0;64,1984;9,014
3 ene. 2022;08:30:00;0;64,2080;9,059
3 ene. 2022;08:45:00;0;64,2123;9,111
3 ene. 2022;09:00:00;0;64,2246;9,178
3 ene. 2022;09:15:00;0;64,2355;9,250
3 ene. 2022;09:30:00;0;64,2419;9,320
3 ene. 2022;09:45:00;0;64,2407;9,387
3 ene. 2022;10:00:00;0;64,2257;9,454
3 ene. 2022;10:15:00;0;64,2342;9,525
3 ene. 2022;10:30:00;0;64,2193;9,596
3 ene. 2022;10:45:00;0;64,2242;9,659
3 ene. 2022;11:00:00;0;64,2257;9,718
3 ene. 2022;11:15:00;0;64,2213;9,784
3 ene. 2022;11:30:00;0;64,2111;9,855
3 ene. 2022;11:45:00;0;64,2096;9,911
3 ene. 2022;12:00:00;0;64,1968;9,985
3 ene. 2022;12:15:00;0;64,2009;10,051
3 ene. 2022;12:30:00;0;64,1887;10,061
3 ene. 2022;12:45:00;0;64,1679;10,051
3 ene. 2022;13:00:00;0;64,1486;10,040
3 ene. 2022;13:15:00;0;64,1393;10,022
3 ene. 2022;13:30:00;0;64,1258;10,009
3 ene. 2022;13:45:00;0;64,0980;9,989
3 ene. 2022;14:00:00;0;64,0917;9,968
3 ene. 2022;14:15:00;0;64,0691;9,954
3 ene. 2022;14:30:00;0;64,0592;9,945
3 ene. 2022;14:45:00;0;64,0461;9,940
3 ene. 2022;15:00:00;0;64,0442;9,935
3 ene. 2022;15:15:00;0;64,0320;9,922
3 ene. 2022;15:30:00;0;64,0156;9,916
3 ene. 2022;15:45:00;0;64,0150;9,905
3 ene. 2022;16:00:00;0;64,0177;9,899
3 ene. 2022;16:15:00;0;64,0115;9,891
