OBJECTID,pointid,grid_code,RASTERVALU
1789,1789,4105.504395,4105.504395
1790,1790,4105.483398,4105.483398
1791,1791,4105.518066,4105.518066
1792,1792,4105.497559,4105.497559
1793,1793,4105.494629,4105.494629
1794,1794,4105.501953,4105.501953
1795,1795,4105.474609,4105.474609
1796,1796,4105.48584,4105.48584
1797,1797,4105.337891,4105.337891
1798,1798,4105.398926,4105.398926
1799,1799,4104.875977,4104.875977
1800,1800,4105.031738,4105.031738
1801,1801,4104.761719,4104.761719
1802,1802,4104.780762,4104.780762
1803,1803,4104.740723,4104.740723
1804,1804,4104.736816,4104.736816
1805,1805,4104.740723,4104.740723
1806,1806,4104.728516,4104.728516
1807,1807,4104.740723,4104.740723
1808,1808,4104.724121,4104.724121
1809,1809,4104.729004,4104.729004
1810,1810,4104.723633,4104.723633
1811,1811,4104.724121,4104.724121
1812,1812,4104.719238,4104.719238
1813,1813,4104.723633,4104.723633
1814,1814,4104.714355,4104.714355
1815,1815,4104.718262,4104.718262
1816,1816,4104.711426,4104.711426
1817,1817,4104.699219,4104.699219
1818,1818,4104.711426,4104.711426
1819,1819,4104.680176,4104.680176
1820,1820,4104.691895,4104.691895
1821,1821,4104.644043,4104.644043
1822,1822,4104.666504,4104.666504
1823,1823,4104.60498,4104.60498
1824,1824,4104.623535,4104.623535
1825,1825,4104.563965,4104.563965
1826,1826,4104.563965,4104.563965
1827,1827,4104.563965,4104.563965
1828,1828,4104.563965,4104.563965
1829,1829,4104.563965,4104.563965
1830,1830,4104.563965,4104.563965
1831,1831,4104.581055,4104.581055
1832,1832,4104.614258,4104.614258
1833,1833,4104.598145,4104.598145
1834,1834,4104.680176,4104.680176
1835,1835,4104.643555,4104.643555
1836,1836,4104.680176,4104.680176
1837,1837,4104.680176,4104.680176
1838,1838,4104.683105,4104.683105
1839,1839,4104.683105,4104.683105
1840,1840,4104.713379,4104.713379
1841,1841,4104.717285,4104.717285
1842,1842,4104.706543,4104.706543
1843,1843,4104.716309,4104.716309
1844,1844,4104.694824,4104.694824
1845,1845,4104.708496,4104.708496
1846,1846,4104.708496,4104.708496
1847,1847,4104.719727,4104.719727
1848,1848,4104.708496,4104.708496
1849,1849,4104.746582,4104.746582
1850,1850,4104.730469,4104.730469
1851,1851,4104.785156,4104.785156
1852,1852,4104.765137,4104.765137
1853,1853,4104.871582,4104.871582
1854,1854,4104.833496,4104.833496
1855,1855,4104.925293,4104.925293
1856,1856,4104.905273,4104.905273
1857,1857,4104.939453,4104.939453
1858,1858,4104.992188,4104.992188
1859,1859,4104.950195,4104.950195
1860,1860,4105.121094,4105.121094
1861,1861,4105.000977,4105.000977
1862,1862,4105.175293,4105.175293
1863,1863,4105.121094,4105.121094
1864,1864,4105.158203,4105.158203
1865,1865,4105.121094,4105.121094
1866,1866,4104.751465,4104.751465
1867,1867,4105.042969,4105.042969
1868,1868,4104.690918,4104.690918
1869,1869,4104.658203,4104.658203
1870,1870,4104.671875,4104.671875
1871,1871,4104.658203,4104.658203
1872,1872,4104.671875,4104.671875
1873,1873,4104.705566,4104.705566
1874,1874,4104.689941,4104.689941
1875,1875,4104.731445,4104.731445
1876,1876,4104.710449,4104.710449
1877,1877,4104.722656,4104.722656
1878,1878,4104.727539,4104.727539
1879,1879,4104.727539,4104.727539
1880,1880,4104.710449,4104.710449
1881,1881,4104.737793,4104.737793
1882,1882,4104.710449,4104.710449
1883,1883,4104.769531,4104.769531
1884,1884,4104.643555,4104.643555
1885,1885,4104.643555,4104.643555
