lat_fit,lon_fit,ele_fit,x_pred,date,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,WaterTemp_c,BaroPress_kpa,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,ele_diff_mid,dist_diff_mid,slope_mid,dist_diff_up,ele_diff_up,slope_up,Q_m3s,catchment_pixel,catchment_ha
-0.331073993,-78.20296798,4068.497904,447.0329539,,454,17,83,NA,NA,NA,NA,,,,,,,stn4,4062.539063,,,,,,,,98660,88.794
-0.331097993,-78.20299987,4068.076577,451.507559,,459,6,76,NA,NA,NA,NA,,,,,,,,4062.268555,,,,,,,,98663,88.7967
-0.331118993,-78.20302814,4067.680983,455.4229024,,460,NA,NA,NA,NA,NA,NA,,,,,,,,4062.004883,,,,,,,,98665,88.7985
-0.331126993,-78.203039,4067.527921,456.9122205,,429,NA,NA,NA,NA,NA,NA,,,,,,,steep slope,4062.004883,,,,,,,,98665,88.7985
-0.331126993,-78.203039,4067.527921,456.9122205,,429,14,53,NA,NA,NA,NA,,,,,,,,4067.053223,,,,,,,,98665,88.7985
-0.331153993,-78.20307599,4067.020891,461.9950288,,464.7,30,41,NA,NA,NA,NA,,,,,,,syn 4,4061.734863,,,,,,,0.01690584,98666,88.7994
-0.331159993,-78.20308427,4066.913253,463.1136886,,465.5,17,83,NA,NA,NA,NA,,,,,,,,4061.460449,,,,,,,,102503,92.2527
-0.331160993,-78.20308565,4066.895582,463.2535211,,465.6,NA,NA,NA,NA,NA,NA,,,,,,,"tributary river left w: 40, d:1.5",4061.460449,,,,,,,,102503,92.2527
-0.331166993,-78.20309396,4066.791377,464.4643412,,469,10,64,NA,NA,NA,NA,,,,,,,,4061.330811,,,,,,,,102529,92.2761
-0.331216993,-78.20316393,4066.079192,474.0427532,,479,8,22,NA,NA,NA,NA,,,,,,,,4060.816895,,,,,,,,102535,92.2815
-0.331221993,-78.20317099,4066.021969,474.9048103,,479.9,21,22,NA,NA,NA,NA,,,,,,,,4060.816895,,,,,,,,102535,92.2815
-0.331221993,-78.20317099,4066.021969,475.0005944,,480,NA,NA,NA,NA,NA,NA,,,,,,,"tributarty river rt, trib mputh W 14, d 11",4060.83374,,,,,,,,102535,92.2815
-0.331226993,-78.20317806,4065.966925,475.9584356,,481,NA,NA,NA,NA,NA,NA,,,,,,,entrance to culvert,4060.816895,,,,,,,,102535,92.2815
-0.331277993,-78.20325065,4065.513567,485.840095,,486,NA,NA,NA,NA,NA,NA,,,,,,,"culvert, tributary river rt",4060.11084,,,,,,,,122849,110.5641
-0.331297993,-78.20327935,4065.379027,489.7340661,6/22/2021,,,,0.43,537.6402185,NA,NA,8.3405,62.4655,6.748,627.1434,new,EOS1,,4059.630615,-2.043213,23.1617689,0.088214895,15.6913129,-1.18628,0.075601067,,122857,110.5713
-0.331305993,-78.20329087,4065.330943,491.2598454,,489,77,53,0.17,567.7224979,3.698,0.128,8.4675,62.4612,6.751,627.1004,new,EOS1,,4059.512207,,,,,,,,122878,110.5902
-0.331324993,-78.20331834,4065.288742,494.9264858,,499,10,47,NA,NA,NA,NA,,,,,,,,4059.212158,,,,,,,,122887,110.5983
-0.331345993,-78.20334894,4065.33015,499.1202045,,505,NA,NA,NA,NA,NA,NA,,,,,,,top of waterfall - > still very steep,4058.773682,,,,,,,,122905,110.6145
-0.331352993,-78.20335921,4065.351655,500.5181108,,507,NA,NA,NA,NA,NA,NA,,,,,,,waterfall,4058.38501,,,,,,,,122914,110.6226
-0.331359993,-78.20336952,4065.37212,501.9160171,,509,6,78,NA,NA,NA,NA,,,,,,,,4058.38501,,,,,,,,122914,110.6226
-0.331390993,-78.20341587,4065.371251,508.0896663,,519,25,75,NA,NA,NA,NA,,,,,,,,4057.4375,,,,,,,,122945,110.6505
-0.331405993,-78.20343884,4065.259244,511.1764909,,524,NA,NA,NA,NA,NA,NA,,,,,,,2m wf,4056.919678,,,,,,,,123108,110.7972
-0.331420993,-78.20346228,4065.026452,514.2633155,,529,60,70,NA,NA,NA,NA,,,,,,,,4056.919678,,,,,,,,123108,110.7972
-0.331438993,-78.20349123,4064.560909,517.967505,,535,NA,NA,NA,NA,NA,NA,,,,,,,,4055.941895,,,,,,,,123156,110.8404
-0.331484993,-78.20357118,4062.841066,528.2775102,,539,35,95,NA,NA,NA,NA,,,,,,,,4054.985596,,,,,,,,123295,110.9655
-0.331496993,-78.20359401,4062.518323,531.2094066,6/22/2021,,,,0.75,466.8255368,NA,NA,8.67725,62.454,6.756,627.0284,new,EOS1,,4054.573975,-2.986573,23.4030821,0.127614516,20.0329157,-2.345703,0.117092441,,123321,110.9889
-0.331535993,-78.20367652,4061.527063,541.3705871,,553,NA,NA,NA,NA,NA,NA,,,,,,,top of waterfall,4052.955322,,,,,,,,123367,111.0303
-0.331545993,-78.20370026,4060.801626,544.2384615,,553,NA,NA,NA,NA,NA,NA,,,,,,,10m waterfall,4052.307617,,,,,,,,123364,111.0276
-0.331556993,-78.20372788,4059.079946,547.6176415,,559,25,120,NA,NA,NA,NA,,,,,,,,4052.186523,,,,,,,,123412,111.0708
-0.331576993,-78.20378278,4053.670542,554.05278,6/22/2021,,,,0.025,475.4753116,3.747,0.1204,8.6585,62.4594,6.76,627.0824,new,EOS1,,4052.186523,-5.121094,19.7615385,0.259144499,22.8433734,-2.387452,0.104513986,,123479,111.1311
-0.331579993,-78.2037916,4052.891729,555.0895453,,569,60,90,NA,NA,NA,NA,,,,,,,very turbulent,4052.186523,,,,,,,,123479,111.1311
-0.331592993,-78.20383178,4053.521583,559.7910799,6/22/2021,,,,-0.035,443.9843501,NA,NA,8.755,62.4576,6.759,627.0644,new,EOS1,,4052.186523,-6.489257,21.3823585,0.303486493,28.5816733,-2.387452,0.083530869,0.01690584,123538,111.1842
,,,564,,,,,,,,,,,,,,,,4047.186523,,,,,,,,,
,,,569,,,,,,,,,,,,,,,,4045.697266,,,,,,,,,
