lat_fit,lon_fit,ele_fit,x_pred,date,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,WaterTemp_c,BaroPress_kpa,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,slope,Q_m3s
-0.331166993,-78.20309396,4066.791377,464.4643412,,469,10,64,NA,NA,NA,NA,,,,,,,,4061.330811,20,0.072583008,
-0.331216993,-78.20316393,4066.079192,474.0427532,,479,8,22,NA,NA,NA,NA,,,,,,,,4060.816895,20,0.090930176,
-0.331221993,-78.20317099,4066.021969,474.9048103,,479.9,21,22,NA,NA,NA,NA,,,,,,,,4060.816895,,,
-0.331221993,-78.20317099,4066.021969,475.0005944,,480,NA,NA,NA,NA,NA,NA,,,,,,,"tributarty river rt, trib mputh W 14, d 11",4060.83374,,,
-0.331226993,-78.20317806,4065.966925,475.9584356,,481,NA,NA,NA,NA,NA,NA,,,,,,,entrance to culvert,4060.816895,,,
-0.331277993,-78.20325065,4065.513567,485.840095,,486,NA,NA,NA,NA,NA,NA,,,,,,,"culvert, tributary river rt",4060.11084,,,
-0.331297993,-78.20327935,4065.379027,489.7340661,6/22/21,,,,0.43,537.6402185,NA,NA,8.3405,62.4655,6.748,627.1434,new,EOS1,,,,,
-0.331299993,-78.20328223,4065.366591,490.1241803,6/22/21,,,,0.17,567.7224979,3.698,0.128,8.4675,62.4612,6.751,627.1004,new,EOS1,,,,,
-0.331305993,-78.20329087,4065.330943,491.2598454,,489,77,53,NA,NA,NA,NA,,,,,,,,4059.512207,20,0.080236816,
-0.331324993,-78.20331834,4065.288742,494.9264858,,499,10,47,NA,NA,NA,NA,,,,,,,,4059.212158,20,0.056359863,
-0.331345993,-78.20334894,4065.33015,499.1202045,,505,NA,NA,NA,NA,NA,NA,,,,,,,top of waterfall - > still very steep,4058.773682,,,
-0.331352993,-78.20335921,4065.351655,500.5181108,,507,NA,NA,NA,NA,NA,NA,,,,,,,waterfall,4058.38501,,,
-0.331359993,-78.20336952,4065.37212,501.9160171,,509,6,78,NA,NA,NA,NA,,,,,,,,4058.38501,20,0.08873291,
-0.331390993,-78.20341587,4065.371251,508.0896663,,519,25,75,NA,NA,NA,NA,,,,,,,,4057.4375,20,0.073266602,
-0.331405993,-78.20343884,4065.259244,511.1764909,,524,NA,NA,NA,NA,NA,NA,,,,,,,2m wf,4056.919678,,,
-0.331420993,-78.20346228,4065.026452,514.2633155,,529,60,70,NA,NA,NA,NA,,,,,,,,4056.919678,20,0.122595215,
-0.331438993,-78.20349123,4064.560909,517.967505,,535,NA,NA,NA,NA,NA,NA,,,,,,,,4055.941895,,,
-0.331484993,-78.20357118,4062.841066,528.2775102,,539,35,95,NA,NA,NA,NA,,,,,,,,4054.985596,30,0.15777181,
-0.331496993,-78.20359401,4062.518323,531.2094066,6/22/21,,,,0.75,466.8255368,NA,NA,8.67725,62.454,6.756,627.0284,new,EOS1,,,,,
-0.331535993,-78.20367652,4061.527063,541.3705871,,553,NA,NA,NA,NA,NA,NA,,,,,,,top of waterfall,4052.955322,,,
-0.331545993,-78.20370026,4060.801626,544.2384615,,553,NA,NA,NA,NA,NA,NA,,,,,,,10m waterfall,4052.307617,,,
-0.331556993,-78.20372788,4059.079946,547.6176415,,559,25,120,NA,NA,NA,NA,,,,,,,,4052.186523,30,0.093302409,
-0.331576993,-78.20378278,4053.670542,554.05278,6/22/21,,,,0.025,475.4753116,3.747,0.1204,8.6585,62.4594,6.76,627.0824,new,EOS1,,,,,
-0.331579993,-78.2037916,4052.891729,555.0895453,,569,60,90,NA,NA,NA,NA,,,,,,,very turbulent,4052.186523,,,
-0.331592993,-78.20383178,4053.521583,559.7910799,6/22/21,,,,-0.035,443.9843501,NA,NA,8.755,62.4576,6.759,627.0644,new,EOS1,,,,,0.06100853
