Device Name:,,OM-CP-VOLT101A,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,
Serial Number:,,R37298,,,,,,,,
Device ID:,,SynopticNew,,,,,,,,
,,,,,,,,,,
,,Channel 1,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,XCoordinate,Ycoordinate,WaterSample,Notes,Notes_2
6/29/2021,10:08:58 AM,1329.16,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:03 AM,1398.07,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:08 AM,1459.97,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:13 AM,1476.51,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:18 AM,1467.74,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:23 AM,1233.43,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:28 AM,1035.71,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:33 AM,912.17,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:38 AM,750.53,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:43 AM,691.9,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:48 AM,686.13,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:53 AM,781.11,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:09:58 AM,890.87,NA,NA,NA,NA,NA,NA,NA,
6/29/2021,10:10:03 AM,1021.18,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:08 AM,1152.99,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:13 AM,1413.86,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:18 AM,1559.71,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:23 AM,1706.31,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:28 AM,1884.98,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:33 AM,2119.29,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:38 AM,2170.66,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:43 AM,2255.61,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:48 AM,2273.91,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:53 AM,2279.67,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:10:58 AM,2283.93,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:03 AM,2242.83,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:08 AM,2144.85,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:13 AM,2139.59,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:18 AM,2137.08,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:23 AM,2137.33,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:28 AM,2135.58,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:33 AM,2135.08,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:38 AM,2109.27,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:43 AM,2104.25,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:48 AM,2104.25,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:53 AM,2105.26,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:11:58 AM,2110.77,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:03 AM,2137.83,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:08 AM,2167.4,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:13 AM,2202.74,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:18 AM,2214.02,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:23 AM,2223.04,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:28 AM,2225.29,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:33 AM,2225.79,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:38 AM,2161.64,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:43 AM,2041.35,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:48 AM,1971.69,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:53 AM,1943.87,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:12:58 AM,2036.84,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:13:03 AM,2166.9,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:13:08 AM,2320.02,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:13:13 AM,2413.49,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:13:18 AM,2514.48,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:13:23 AM,2555.08,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:13:28 AM,2635.52,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
6/29/2021,10:13:33 AM,2700.42,1,"Starting after last point on 2021-06-23 above road, near guard station",2,NA,NA,NA,NA,
