Serial_number:
2020435
Project ID:

Location:
BelowLake_Downstream
BelowLake_Downstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_Downstream,TEMPERATURE
8/24/2021,08:00:00 pm,0,62.9012,6.809
8/24/2021,08:15:00 pm,0,62.9158,6.707
8/24/2021,08:30:00 pm,0,62.9231,6.625
8/24/2021,08:45:00 pm,0,62.9308,6.556
8/24/2021,09:00:00 pm,0,62.9362,6.488
8/24/2021,09:15:00 pm,0,62.9451,6.426
8/24/2021,09:30:00 pm,0,62.9610,6.370
8/24/2021,09:45:00 pm,0,62.9737,6.313
8/24/2021,10:00:00 pm,0,62.9666,6.246
8/24/2021,10:15:00 pm,0,62.9643,6.171
8/24/2021,10:30:00 pm,0,62.9720,6.124
8/24/2021,10:45:00 pm,0,62.9795,6.079
8/24/2021,11:00:00 pm,0,62.9903,6.042
8/24/2021,11:15:00 pm,0,62.9828,6.011
8/24/2021,11:30:00 pm,0,62.9795,5.980
8/24/2021,11:45:00 pm,0,62.9715,5.947
8/25/2021,12:00:00 am,0,62.9641,5.915
8/25/2021,12:15:00 am,0,62.9603,5.884
8/25/2021,12:30:00 am,0,62.9544,5.864
8/25/2021,12:45:00 am,0,62.9429,5.844
8/25/2021,01:00:00 am,0,62.9415,5.829
8/25/2021,01:15:00 am,0,62.9338,5.818
8/25/2021,01:30:00 am,0,62.9214,5.809
8/25/2021,01:45:00 am,0,62.9161,5.804
8/25/2021,02:00:00 am,0,62.9045,5.798
8/25/2021,02:15:00 am,0,62.9017,5.790
8/25/2021,02:30:00 am,0,62.8923,5.782
8/25/2021,02:45:00 am,0,62.8913,5.770
8/25/2021,03:00:00 am,0,62.8828,5.758
8/25/2021,03:15:00 am,0,62.8749,5.746
8/25/2021,03:30:00 am,0,62.8714,5.729
8/25/2021,03:45:00 am,0,62.8683,5.713
8/25/2021,04:00:00 am,0,62.8637,5.695
8/25/2021,04:15:00 am,0,62.8590,5.675
8/25/2021,04:30:00 am,0,62.8594,5.640
8/25/2021,04:45:00 am,0,62.8582,5.589
8/25/2021,05:00:00 am,0,62.8613,5.533
8/25/2021,05:15:00 am,0,62.8553,5.471
8/25/2021,05:30:00 am,0,62.8621,5.407
8/25/2021,05:45:00 am,0,62.8601,5.343
8/25/2021,06:00:00 am,0,62.8580,5.282
8/25/2021,06:15:00 am,0,62.8609,5.229
8/25/2021,06:30:00 am,0,62.8681,5.164
8/25/2021,06:45:00 am,0,62.8759,5.087
8/25/2021,07:00:00 am,0,62.8876,5.016
8/25/2021,07:15:00 am,0,62.9106,4.975
8/25/2021,07:30:00 am,0,62.9275,4.964
8/25/2021,07:45:00 am,0,62.9443,4.964
8/25/2021,08:00:00 am,0,62.9575,4.972
8/25/2021,08:15:00 am,0,62.9714,4.982
8/25/2021,08:30:00 am,0,62.9880,4.996
8/25/2021,08:45:00 am,0,62.9959,5.016
8/25/2021,09:00:00 am,0,63.0045,5.050
8/25/2021,09:15:00 am,0,63.0091,5.108
8/25/2021,09:30:00 am,0,63.0182,5.219
8/25/2021,09:45:00 am,0,63.0278,5.359
8/25/2021,10:00:00 am,0,63.0405,5.479
8/25/2021,10:15:00 am,0,63.0486,5.589
8/25/2021,10:30:00 am,0,63.0562,5.712
8/25/2021,10:45:00 am,0,63.0677,5.854
8/25/2021,11:00:00 am,0,63.0807,5.991
8/25/2021,11:15:00 am,0,63.0925,6.104
8/25/2021,11:30:00 am,0,63.0880,6.197
8/25/2021,11:45:00 am,0,63.0796,6.316
8/25/2021,12:00:00 pm,0,63.0918,6.475
8/25/2021,12:15:00 pm,0,63.0848,6.584
8/25/2021,12:30:00 pm,0,63.0816,6.667
8/25/2021,12:45:00 pm,0,63.0707,6.767
8/25/2021,01:00:00 pm,0,63.0632,6.864
8/25/2021,01:15:00 pm,0,63.0624,6.996
8/25/2021,01:30:00 pm,0,63.0556,7.102
8/25/2021,01:45:00 pm,0,62.9651,7.197
8/25/2021,02:00:00 pm,0,62.9627,7.442
8/25/2021,02:15:00 pm,0,62.9686,7.684
8/25/2021,02:30:00 pm,0,62.9763,7.813
8/25/2021,02:45:00 pm,0,62.9763,7.984
8/25/2021,03:00:00 pm,0,62.9743,8.134
8/25/2021,03:15:00 pm,0,62.9676,8.190
8/25/2021,03:30:00 pm,0,62.9702,8.308
8/25/2021,03:45:00 pm,0,62.9725,8.388
8/25/2021,04:00:00 pm,0,62.9703,8.397
