OBJECTID,pointid,FloAccu,Ele,lat,lon
9621,170979,47168,4021,-0.33480391,-78.19720058
9622,170980,522,4033,-0.33480371,-78.19650044
9623,170981,982,4041,-0.33480366,-78.19633888
9624,171065,319,4048,-0.33483236,-78.20185916
9625,171066,321,4047,-0.33483235,-78.20183224
9626,171067,323,4046,-0.33483235,-78.20180531
9627,171068,325,4045,-0.33483234,-78.20177838
9628,171069,326,4044,-0.33483233,-78.20175145
9629,171070,327,4043,-0.33483232,-78.20172452
9630,171071,328,4042,-0.33483231,-78.20169759
9631,171072,398,4041,-0.33483231,-78.20167067
9632,171073,401,4040,-0.3348323,-78.20164374
9633,171074,9432,4035,-0.33483222,-78.20137445
9634,171075,9433,4035,-0.33483221,-78.20134753
9635,171076,9434,4035,-0.33483221,-78.2013206
9636,171077,9478,4034,-0.3348322,-78.20129367
9637,171078,9482,4034,-0.33483219,-78.20126674
9638,171079,1787,4030,-0.33483204,-78.2007551
9639,171080,4889,3995,-0.33483166,-78.19943562
9640,171081,550,3996,-0.33483148,-78.19878934
9641,171082,2772,3998,-0.33483141,-78.19854698
9642,171083,416,3998,-0.33483138,-78.1984662
9643,171084,47177,4021,-0.33483102,-78.19720057
9644,171085,759,4031,-0.33483083,-78.19652737
9645,171086,1005,4039,-0.33483078,-78.1963658
9646,171184,9512,4033,-0.33485929,-78.2012398
9647,171185,1788,4029,-0.33485915,-78.20072817
9648,171186,4890,3995,-0.33485877,-78.19943561
9649,171187,551,3996,-0.33485859,-78.19878933
9650,171188,2774,3998,-0.33485852,-78.19854698
9651,171189,420,3998,-0.3348585,-78.19849312
9652,171190,47198,4021,-0.33485813,-78.19720056
9653,171191,763,4030,-0.33485794,-78.19652736
9654,171192,1011,4035,-0.3348579,-78.19641964
9655,171193,1009,4037,-0.3348579,-78.19639272
9656,171294,9513,4033,-0.3348864,-78.2012398
9657,171295,1791,4027,-0.33488625,-78.20070123
9658,171296,4918,3994,-0.33488588,-78.1994356
9659,171297,805,3995,-0.3348857,-78.19881625
9660,171298,780,3995,-0.3348857,-78.19878932
9661,171299,2778,3997,-0.33488563,-78.1985739
9662,171300,434,3998,-0.33488561,-78.19849311
9663,171301,47235,4020,-0.33488523,-78.19717363
9664,171302,1825,4029,-0.33488504,-78.19652735
9665,171303,1056,4030,-0.33488504,-78.19650042
9666,171304,1018,4031,-0.33488503,-78.19647349
9667,171305,1016,4033,-0.33488502,-78.19644657
9668,171384,9621,4032,-0.3349135,-78.20121286
9669,171385,9622,4032,-0.3349135,-78.20118593
9670,171386,9639,4031,-0.33491349,-78.201159
9671,171387,9661,4031,-0.33491348,-78.20113208
9672,171388,1792,4026,-0.33491335,-78.20067429
9673,171389,5014,3993,-0.334913,-78.19946252
9674,171390,810,3994,-0.33491282,-78.19884317
9675,171391,2779,3997,-0.33491275,-78.19860082
9676,171392,522,3997,-0.33491273,-78.19852003
9677,171393,47293,4020,-0.33491233,-78.19714669
9678,171394,1855,4028,-0.33491216,-78.19655427
9679,171478,713,4031,-0.3349406,-78.201159
9680,171479,714,4031,-0.33494059,-78.20113207
9681,171480,10382,4030,-0.33494058,-78.20110514
9682,171481,10412,4030,-0.33494057,-78.20107821
9683,171482,1795,4024,-0.33494045,-78.20064736
9684,171483,5015,3993,-0.33494011,-78.19946251
