OBJECTID,pointid,FloAccu,ele,lat,lon
627,43481,807,4030,-0.30189648,-78.2095157
628,43482,10583,4030,-0.30189646,-78.20946184
629,43483,5622,4034,-0.30189602,-78.20773842
630,43536,436,4030,-0.3019237,-78.20994655
631,43537,1004,4030,-0.30192366,-78.2098119
632,43538,814,4030,-0.30192359,-78.20951569
633,43539,10585,4030,-0.30192358,-78.20948876
634,43540,5647,4034,-0.30192313,-78.20776534
635,43634,437,4030,-0.3019508,-78.20991961
636,43635,1006,4030,-0.30195076,-78.20978497
637,43636,818,4030,-0.3019507,-78.20954261
638,43637,10588,4030,-0.30195069,-78.20948876
639,43638,5655,4033,-0.30195025,-78.20779227
640,43704,438,4030,-0.3019779,-78.20989268
641,43705,1008,4030,-0.30197787,-78.20975803
642,43706,1020,4030,-0.30197782,-78.20956953
643,43707,10590,4030,-0.3019778,-78.20951568
644,43708,5656,4033,-0.30197736,-78.20779226
645,43709,479,4045,-0.30197695,-78.20623041
646,43790,439,4030,-0.302005,-78.20986574
647,43791,1010,4030,-0.30200497,-78.2097311
648,43792,1021,4030,-0.30200493,-78.20956953
649,43793,10592,4030,-0.30200492,-78.2095426
650,43794,5661,4032,-0.30200447,-78.20779225
651,43795,481,4045,-0.30200407,-78.20625734
652,43902,440,4030,-0.30203211,-78.20983881
653,43903,448,4030,-0.3020321,-78.20981188
654,43904,1043,4030,-0.30203207,-78.20970416
655,43905,11615,4030,-0.30203204,-78.20956952
656,43906,5662,4032,-0.30203158,-78.20779225
657,43907,483,4045,-0.30203119,-78.20628426
658,44008,450,4030,-0.3020592,-78.20978494
659,44009,451,4030,-0.3020592,-78.20975801
660,44010,465,4030,-0.30205919,-78.20973108
661,44011,1517,4030,-0.30205918,-78.20970416
662,44012,11635,4030,-0.30205915,-78.20956951
663,44013,5663,4031,-0.30205869,-78.20779224
664,44014,485,4045,-0.3020583,-78.20631118
665,44015,338,4045,-0.30205829,-78.20625732
666,44101,1531,4029,-0.30208628,-78.20967722
667,44102,11655,4029,-0.30208626,-78.20959644
668,44103,5664,4030,-0.3020858,-78.20779223
669,44104,869,4045,-0.30208543,-78.20636503
670,44105,855,4045,-0.30208542,-78.2063381
