"Plot Title: RogersRoad_LUX"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10801157, SEN S/N: 10801157)","Intensity, Lux (LGR S/N: 10801157, SEN S/N: 10801157)","Coupler Attached (LGR S/N: 10801157)","Host Connected (LGR S/N: 10801157)","Stopped (LGR S/N: 10801157)","End Of File (LGR S/N: 10801157)"
305,07/10/21 10:10:00 AM,6.573,419.8,,,,
306,07/10/21 10:15:00 AM,6.674,409.0,,,,
307,07/10/21 10:20:00 AM,6.674,505.9,,,,
308,07/10/21 10:25:00 AM,6.674,344.4,,,,
309,07/10/21 10:30:00 AM,6.674,484.4,,,,
310,07/10/21 10:35:00 AM,6.674,409.0,,,,
311,07/10/21 10:40:00 AM,6.775,462.9,,,,
312,07/10/21 10:45:00 AM,6.775,516.7,,,,
313,07/10/21 10:50:00 AM,6.775,592.0,,,,
314,07/10/21 10:55:00 AM,6.775,559.7,,,,
315,07/10/21 11:00:00 AM,6.775,279.9,,,,
316,07/10/21 11:05:00 AM,6.775,753.5,,,,
317,07/10/21 11:10:00 AM,6.877,807.3,,,,
318,07/10/21 11:15:00 AM,6.877,635.1,,,,
319,07/10/21 11:20:00 AM,6.877,753.5,,,,
320,07/10/21 11:25:00 AM,6.877,602.8,,,,
321,07/10/21 11:30:00 AM,6.877,753.5,,,,
322,07/10/21 11:35:00 AM,6.877,559.7,,,,
323,07/10/21 11:40:00 AM,6.978,871.9,,,,
324,07/10/21 11:45:00 AM,6.978,592.0,,,,
325,07/10/21 11:50:00 AM,6.978,828.8,,,,
326,07/10/21 11:55:00 AM,6.978,796.5,,,,
327,07/10/21 12:00:00 PM,6.978,839.6,,,,
328,07/10/21 12:05:00 PM,7.079,753.5,,,,
329,07/10/21 12:10:00 PM,7.079,818.1,,,,
330,07/10/21 12:15:00 PM,7.079,495.1,,,,
331,07/10/21 12:20:00 PM,7.079,710.4,,,,
332,07/10/21 12:25:00 PM,7.079,710.4,,,,
333,07/10/21 12:30:00 PM,7.079,484.4,,,,
334,07/10/21 12:35:00 PM,7.079,516.7,,,,
335,07/10/21 12:40:00 PM,7.079,624.3,,,,
336,07/10/21 12:45:00 PM,7.079,581.3,,,,
337,07/10/21 12:50:00 PM,7.079,861.1,,,,
338,07/10/21 12:55:00 PM,7.079,549.0,,,,
339,07/10/21 01:00:00 PM,7.079,785.8,,,,
340,07/10/21 01:05:00 PM,7.179,828.8,,,,
341,07/10/21 01:10:00 PM,7.179,602.8,,,,
342,07/10/21 01:15:00 PM,7.179,947.2,,,,
343,07/10/21 01:20:00 PM,7.179,592.0,,,,
344,07/10/21 01:25:00 PM,7.179,721.2,,,,
345,07/10/21 01:30:00 PM,7.179,602.8,,,,
346,07/10/21 01:35:00 PM,7.179,398.3,,,,
347,07/10/21 01:40:00 PM,7.280,710.4,,,,
348,07/10/21 01:45:00 PM,7.280,1194.8,,,,
349,07/10/21 01:50:00 PM,7.280,1151.7,,,,
350,07/10/21 01:55:00 PM,7.280,688.9,,,,
351,07/10/21 02:00:00 PM,7.280,688.9,,,,
352,07/10/21 02:05:00 PM,7.280,753.5,,,,
353,07/10/21 02:10:00 PM,7.280,936.5,,,,
354,07/10/21 02:15:00 PM,7.381,731.9,,,,
355,07/10/21 02:20:00 PM,7.381,796.5,,,,
356,07/10/21 02:25:00 PM,7.381,764.2,,,,
357,07/10/21 02:30:00 PM,7.381,1377.8,,,,
358,07/10/21 02:35:00 PM,7.481,893.4,,,,
359,07/10/21 02:40:00 PM,7.481,387.5,,,,
360,07/10/21 02:45:00 PM,7.381,559.7,,,,
