Device Name:,,OM-CP-VOLT101A,,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,,
Serial Number:,,R37297,,,,,,,,,
Device ID:,,SynopticOld,,,,,,,,,
,,,,,,,,,,,
,,Channel 1,,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,elev,WS,Notes,Notes_2
7/5/2021,1:06:15 PM,596,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:20 PM,596,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:25 PM,591,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:30 PM,581,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:35 PM,566,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:40 PM,541,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:45 PM,521,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:50 PM,486,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:06:55 PM,451,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:00 PM,411,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:05 PM,386,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:10 PM,366,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:15 PM,341,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:20 PM,331,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:25 PM,316,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:30 PM,306,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:35 PM,296,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:40 PM,296,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:45 PM,291,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:50 PM,286,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:07:55 PM,286,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:00 PM,286,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2021,1:08:05 PM,286,NA,NA,NA,NA,NA,NA,NA,NA,
