"","lon_fit","lat_fit","lon_dist","lat_dist","lon","lat","ele","time","lat_wypt","lon_wypt","ele_wypt","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave","adjusted_ppm","DOC","TDN","AirTemp_c","VaisalaType","Total_hPa","GAVI_waterTempAve","ele_fit","slope","ante_slope","dist"
"241",-78.1940383576336,-0.31474241296339,-78.1940366597775,-0.31474341296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.21093569641,0.0185639438576234,0.017583210873442,442.195973074022
"240",-78.1940366597775,-0.31474341296339,-78.1940349666126,-0.31474441296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.2131291787,0.0184043659209316,0.0176028812837902,441.976624845138
"239",-78.1940349666126,-0.31474441296339,-78.1940332781264,-0.31474541296339,-78.1940199807286,-0.314717162400484,4267.91,"2021-07-12 10:49:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.21531816281,0.0184579792465559,0.0176215535212235,441.75772643472
"238",-78.1940332781264,-0.31474541296339,-78.1940315943061,-0.31474641296339,-78.194010425359,-0.314705763012171,4270.31,"2021-07-12 10:51:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.21750266413,0.0187104783730667,0.0176392705539735,441.539276302023
"237",-78.1940315943061,-0.31474641296339,-78.1940299151389,-0.31474741296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.2196826981,0.0191583244191615,0.0176560728570679,441.321272905739
"236",-78.1940299151389,-0.31474741296339,-78.1940282406122,-0.31474841296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.22185828007,0.019797992612348,0.0176719986180482,441.103714708856
"235",-78.1940282406122,-0.31474841296339,-78.1940265707132,-0.31474941296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.22402942544,0.0206259730514471,0.0176870838831031,440.88660017139
"234",-78.1940265707132,-0.31474941296339,-78.1940249054291,-0.31475041296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.22619614963,0.0216146150282994,0.0177013627193991,440.669927752807
"233",-78.1940249054291,-0.31475041296339,-78.1940232447474,-0.31475141296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.22835846796,0.0227943822600151,0.0177148673436561,440.45369591935
"232",-78.1940232447474,-0.31475141296339,-78.1940215886552,-0.31475241296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.23051639582,0.0241499283868635,0.0177276282590861,440.237903133084
"231",-78.1940215886552,-0.31475241296339,-78.1940199371398,-0.31475341296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.23266994856,0.0259104480343411,0.0177396743607323,440.022547859228
"230",-78.1940199371398,-0.31475341296339,-78.1940182901886,-0.31475441296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.23481914157,0.0276070098123712,0.0177510330632102,439.807628558848
"229",-78.1940182901886,-0.31475441296339,-78.1940166477887,-0.31475541296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.23696399014,0.0294692014841428,0.0177617303662401,439.593143701036
"228",-78.1940166477887,-0.31475541296339,-78.1940150099275,-0.31475641296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.23910450968,0.0314936766876446,0.0177717909836925,439.379091747132
"227",-78.1940150099275,-0.31475641296339,-78.1940133765922,-0.31475741296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.24124071545,0.0336771077253673,0.0177812383858766,439.165471170122
"226",-78.1940133765922,-0.31475741296339,-78.1940117477701,-0.31475841296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.2433726228,0.036016186151701,0.0177900949159651,438.952280435292
"225",-78.1940117477701,-0.31475841296339,-78.1940101234485,-0.31475941296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.24550024708,0.0385076230946196,0.0177983818395979,438.73951800749
"224",-78.1940101234485,-0.31475941296339,-78.1940085036148,-0.31476041296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.24762360355,0.0411481496203837,0.0178061194110886,438.527182360809
"223",-78.1940085036148,-0.31476041296339,-78.194006888256,-0.31476141296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.2497427075,0.0439345171723266,0.0178133269419357,438.315271965297
"222",-78.194006888256,-0.31476141296339,-78.1940052773596,-0.31476241296339,-78.1939970143139,-0.314745074138045,4268.87,"2021-07-12 10:52:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.25185757427,0.0468634977826814,0.0178200228531187,438.103785288207
"221",-78.1940052773596,-0.31476241296339,-78.1940036709127,-0.31476341296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.25396821913,0.0499318845316411,0.0178262247339106,437.892720802419
"219",-78.1940020689028,-0.31476441296339,-78.194000471317,-0.31476541296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.25817690415,0.0531364917272918,0.0180424255713933,437.682076982855
