"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"16495",-0.328872013073492,-78.2015958363511,-78.2015958236955,-0.328872113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.93511251871,0.0112207391052834,30.2744217808583,-0.104088297471017
"16494",-0.328872113073492,-78.2015958236955,-78.2015958110108,-0.328872213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.93262617916,0.0112211458568652,30.2856429267151,-0.104131827984258
"16493",-0.328872213073492,-78.2015958110108,-78.2015957982972,-0.328872313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.93013691493,0.0112215522821373,30.2968644789973,-0.104175421389304
"16492",-0.328872313073492,-78.2015957982972,-78.2015957855547,-0.328872413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.92764471919,0.0112219581770603,30.3080864371743,-0.104219077841132
"16491",-0.328872413073492,-78.2015957855547,-78.2015957727833,-0.328872513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.92514958518,0.0112223642605898,30.3193088014349,-0.104262797490812
"16490",-0.328872513073492,-78.2015957727833,-78.2015957599832,-0.328872613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.92265150596,0.0112227700048777,30.3305315714398,-0.104306580496009
"16489",-0.328872613073492,-78.2015957599832,-78.2015957471545,-0.328872713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.92015047472,0.0112231750081548,30.3417547464479,-0.104350427011876
"16488",-0.328872713073492,-78.2015957471545,-78.2015957342972,-0.328872813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.91764648473,0.0112235796428024,30.3529783260907,-0.10439433718912
"16487",-0.328872813073492,-78.2015957342972,-78.2015957214114,-0.328872913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.91513952919,0.0112239855238556,30.3642023116146,-0.104438311175391
"16486",-0.328872913073492,-78.2015957214114,-78.2015957084972,-0.328873013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.91262960091,0.0112243888499961,30.3754267004646,-0.104482349143161
"16485",-0.328873013073492,-78.2015957084972,-78.2015956955547,-0.328873113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.91011669358,0.0112247935813912,30.386651494046,-0.10452645122308
"16484",-0.328873113073492,-78.2015956955547,-78.201595682584,-0.328873213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.90760079998,0.0112251977340634,30.3978766917801,-0.104570617581467
"16483",-0.328873213073492,-78.201595682584,-78.2015956695851,-0.328873313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.90508191334,0.0112256005683946,30.4091022923485,-0.104614848372703
"16482",-0.328873313073492,-78.2015956695851,-78.2015956565581,-0.328873413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.90256002706,0.0112260042490675,30.4203282965975,-0.104659143737696
"16481",-0.328873413073492,-78.2015956565581,-78.2015956435032,-0.328873513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.90003513405,0.0112264067759327,30.4315547033735,-0.104703503840307
"16480",-0.328873513073492,-78.2015956435032,-78.2015956304203,-0.328873613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.89750722767,0.0112268097894912,30.4427815131629,-0.104747928823601
"16479",-0.328873613073492,-78.2015956304203,-78.2015956173096,-0.328873713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.8949763009,0.0112272119822023,30.4540087251451,-0.10479241884723
"16478",-0.328873713073492,-78.2015956173096,-78.2015956041712,-0.328873813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.89244234703,0.0112276139135474,30.4652363390587,-0.104836974058864
"16477",-0.328873813073492,-78.2015956041712,-78.2015955910051,-0.328873913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.8899053592,0.0112280150219135,30.4764643540806,-0.104881594612299
"16476",-0.328873913073492,-78.2015955910051,-78.2015955778115,-0.328874013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.8873653307,0.0112284162066771,30.4876927702873,-0.104926280653655
