"","x_pred","x","d","w","ele_arcpro","dist_diff","slope_mid","slope_up","catchment_ha","site"
"154",356.3380468,361,NA,NA,3929.671143,NA,NA,NA,106.2558,"Colm"
"155",364.956748,370,NA,NA,3929.55127,10,0.010439902,NA,106.4403,"Colm"
"156",374.5330827,380,70,400,3929.471191,10,0.006564777,0.010439902,107.8443,"Colm"
"157",384.1094174,390,30,70,3929.425537,10,0.002383689,0.006564777,165.915,"Colm"
"158",389.8552182,396,NA,NA,3929.425537,NA,NA,NA,166.0563,"Colm"
"159",393.6857521,400,71,140,3929.425537,10,0.00034156,0.002383689,166.0851,"Colm"
"160",394.3199652,NA,NA,NA,3929.425537,NA,NA,NA,166.0851,"Colm"
"161",399.9920551,407,NA,NA,3929.425537,NA,NA,NA,166.0887,"Colm"
"162",402.6947564,410,55,170,3929.419189,10,0.010717888,0.00034156,166.0932,"Colm"
"163",411.7037607,420,22,140,3929.232422,10,0.024077966,0.00034156,166.1481,"Colm"
"164",420.7127649,430,80,170,3928.985352,10,0.015148678,0.024077966,166.2813,"Colm"
"165",429.7217692,440,69,90,3928.959473,10,0.001436285,0.015148678,166.4073,"Colm"
"166",434.2262713,445,NA,NA,3928.959473,NA,NA,NA,166.4082,"Colm"
"167",435.8891252,NA,NA,NA,3928.959473,NA,NA,NA,166.4622,"Colm"
"168",438.7307735,450,85,130,3928.959473,10,0,0.001436285,166.4622,"Colm"
"169",448.4383807,460,25,50,3928.959473,10,0.003785021,0,169.614,"Colm"
"170",458.1459879,470,23,54,3928.885986,10,0.011556195,0.003785021,169.6221,"Colm"
"171",467.8535951,480,32,23,3928.735107,10,0.036931913,0.011556195,169.7517,"Colm"
"172",477.5612023,490,16,40,3928.168945,10,0.076391327,0.036931913,169.7688,"Colm"
"173",487.2688095,500,14,75,3927.251953,10,0.076910205,0.076391327,169.8075,"Colm"
"174",491.7076347,NA,NA,NA,3926.946533,NA,NA,NA,169.821,"Colm"
"175",496.8739971,510,90,80,3926.683594,10,0.062679724,0.076910205,169.8219,"Colm"
"176",506.4791846,520,40,31,3926.047852,10,0.07890887,0.062679724,169.8237,"Colm"
"177",516.0843722,530,82,90,3925.167725,10,0.070177963,0.07890887,170.6256,"Colm"
"178",524.3889457,NA,NA,NA,3924.699707,NA,NA,NA,170.6283,"Colm"
