"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","adjusted_ppm","ele_fit"
"2602",-0.329099,-78.2007135385294,-78.200714104261,-0.3291,475.916621816203,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.77348575396
"2603",-0.329098,-78.2007129738656,-78.2007135385294,-0.329099,476.044461704199,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.79336516618
"2604",-0.329097,-78.2007124102729,-78.2007129738656,-0.329098,476.172243017406,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.81308561198
"2605",-0.329096,-78.2007118477541,-78.2007124102729,-0.329097,476.299965675655,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.83264206766
"2606",-0.329095,-78.2007112863123,-78.2007118477541,-0.329096,476.427629593422,-0.329093718901277,-78.2007132656872,4093.91,2021-12-18 11:29:00,NA,NA,NA,NA,NA,4093.85202952342
"2607",-0.329094,-78.2007107259508,-78.2007112863123,-0.329095,476.555234690162,-0.329086594283581,-78.200723323971,4091.99,2021-12-18 11:29:00,NA,NA,NA,NA,NA,4093.87124298487
"2608",-0.329094,-78.2007107259508,-78.2007112863123,-0.329095,476.555234690162,-0.329094640910625,-78.2007106672972,4098.24,2021-12-18 11:29:30,NA,NA,NA,NA,NA,4093.87124298487
"2609",-0.329093,-78.2007101666724,-78.2007107259508,-0.329094,476.682780887586,-0.329094976186752,-78.2007069792598,4096.8,2021-12-18 11:26:00,NA,NA,NA,NA,NA,4093.89027747269
"2610",-0.329092,-78.2007096084803,-78.2007101666724,-0.329093,476.810268102023,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.90912802144
"2611",-0.329091,-78.2007090513777,-78.2007096084803,-0.329092,476.937696255518,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.9277896813
"2612",-0.32909,-78.2007084953675,-78.2007090513777,-0.329091,477.065065267541,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093.94625751676
"2613",-0.329089,-78.2007079404528,-78.2007084953675,-0.32909,477.192375063924,-0.329087013378739,-78.200712595135,4096.31,2021-12-18 11:26:30,NA,NA,NA,NA,NA,4093.96452660803
"2614",-0.329088,-78.2007073866368,-78.2007079404528,-0.329089,477.319625563833,-0.329093132168055,-78.2006992679089,4100.64,2021-12-18 11:29:30,NA,NA,NA,NA,NA,4093.98259204907
"2615",-0.329087,-78.2007068339226,-78.2007073866368,-0.329088,477.446816690741,NA,NA,NA,NA,NA,NA,NA,NA,NA,4094.00088117185
"2616",-0.329086,-78.2007062823131,-78.2007068339226,-0.329087,477.573948371764,-0.329084247350693,-78.200710080564,4100.16,2021-12-18 11:29:30,NA,NA,NA,NA,NA,4094.01979437826
"2617",-0.329085,-78.2007057318116,-78.2007062823131,-0.329086,477.701020531466,-0.329085253179073,-78.200704632327,4095.83,2021-12-18 11:26:30,NA,NA,NA,NA,NA,4094.03928647081
"2618",-0.329084,-78.200705182421,-78.2007057318116,-0.329085,477.828033096011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4094.05931237567
"2619",-0.329083,-78.2007046341446,-78.200705182421,-0.329084,477.954985990405,NA,NA,NA,NA,NA,NA,NA,NA,NA,4094.07982714249
"2620",-0.329082,-78.2007040869853,-78.2007046341446,-0.329083,478.081879143305,NA,NA,NA,NA,NA,NA,NA,NA,NA,4094.10078594517
"2621",-0.329081,-78.2007035409464,-78.2007040869853,-0.329082,478.208712484938,NA,NA,NA,NA,NA,NA,NA,NA,NA,4094.12214408177
"2622",-0.32908,-78.2007029960308,-78.2007035409464,-0.329081,478.335485941035,-0.329090869054198,-78.2006824202836,4100.16,2021-12-18 11:30:00,NA,NA,NA,NA,NA,4094.14385697354
"2623",-0.329079,-78.2007024522418,-78.2007029960308,-0.32908,478.462199447043,NA,NA,NA,NA,NA,NA,NA,NA,NA,4094.16588016746
