"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","slope","ante_slope"
"5671",-0.331110572898483,-78.2031793465596,-78.2031793527663,-0.331110672898483,51.0742591140306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.65054821973,0.112920722766494,0.124742173169824
"5672",-0.331110472898483,-78.203179340352,-78.2031793465596,-0.331110572898483,51.0854124900655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.65181646512,0.112956400856493,0.124755810276133
"5673",-0.331110372898483,-78.2031793341434,-78.203179340352,-0.331110472898483,51.0965658728515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.65308523091,0.112992049055919,0.124769373718306
"5674",-0.331110272898483,-78.2031793279338,-78.2031793341434,-0.331110372898483,51.1077192623075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.65435451624,0.113027667290647,0.124782863496394
"5675",-0.331110172898483,-78.2031793217232,-78.2031793279338,-0.331110272898483,51.1188726585278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.65562432033,0.113063255485333,0.124796279609863
"5676",-0.331110072898483,-78.2031793155117,-78.2031793217232,-0.331110172898483,51.1300260613269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.65689464232,0.113098813564195,0.124809622058564
"5677",-0.331109972898483,-78.2031793092992,-78.2031793155117,-0.331110072898483,51.1411794708869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.65816548142,0.113134341453198,0.124822890842505
"5678",-0.331109872898483,-78.2031793030858,-78.2031793092992,-0.331109972898483,51.1523328871211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.6594368368,0.11316983907605,0.124836085961147
"5679",-0.331109772898483,-78.2031792968713,-78.2031793030858,-0.331109872898483,51.1634863101238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.66070870764,0.113205306358488,0.124849207414589
"5680",-0.331109672898483,-78.2031792906559,-78.2031792968713,-0.331109772898483,51.1746397397973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.66198109312,0.113240743224961,0.124862255202471
"5681",-0.331109572898483,-78.2031792844395,-78.2031792906559,-0.331109672898483,51.1857931763237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.66325399243,0.113276149600278,0.124875229324721
"5682",-0.331109472898483,-78.2031792782222,-78.2031792844395,-0.331109572898483,51.1969466195285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.66452740474,0.113311525409981,0.124888129780708
"5683",-0.331109372898483,-78.2031792720038,-78.2031792782222,-0.331109472898483,51.2081000695005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.66580132924,0.113346870577817,0.124900956570657
"5684",-0.331109272898483,-78.2031792657845,-78.2031792720038,-0.331109372898483,51.219253526065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.66707576508,0.113382185029635,0.124913709694019
"5685",-0.331109172898483,-78.2031792595642,-78.2031792657845,-0.331109272898483,51.2304069896626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.6683507115,0.11341746868947,0.124926389150978
"5686",-0.331109072898483,-78.203179253343,-78.2031792595642,-0.331109172898483,51.2415604599483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.66962616764,0.113452721483204,0.124938994941093
"5687",-0.331108972898483,-78.2031792471207,-78.203179253343,-0.331109072898483,51.252713936912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.67090213268,0.113487943334707,0.124951527063893
"5688",-0.331108872898483,-78.2031792408975,-78.2031792471207,-0.331108972898483,51.2638674207363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.67217860581,0.113523134169444,0.124963985519637
"5689",-0.331108772898483,-78.2031792346732,-78.2031792408975,-0.331108872898483,51.2750209114277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.67345558622,0.113558293911709,0.12497637030786
