"Plot Title: Injection_july20"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)","Coupler Detached (LGR S/N: 20974616)","Coupler Attached (LGR S/N: 20974616)","Host Connected (LGR S/N: 20974616)","Stopped (LGR S/N: 20974616)","End Of File (LGR S/N: 20974616)"
352,07/20/21 12:26:50 PM,1.8,10.36,,,,,
353,07/20/21 12:27:00 PM,1.9,10.36,,,,,
354,07/20/21 12:27:10 PM,1.9,10.36,,,,,
355,07/20/21 12:27:20 PM,1.8,10.36,,,,,
356,07/20/21 12:27:30 PM,1.8,10.35,,,,,
357,07/20/21 12:27:40 PM,1.8,10.34,,,,,
358,07/20/21 12:27:50 PM,1.8,10.36,,,,,
359,07/20/21 12:28:00 PM,1.9,10.35,,,,,
360,07/20/21 12:28:10 PM,1.8,10.33,,,,,
361,07/20/21 12:28:20 PM,3.4,10.34,,,,,
362,07/20/21 12:28:30 PM,1.8,10.34,,,,,
363,07/20/21 12:28:40 PM,1.8,10.35,,,,,
364,07/20/21 12:28:50 PM,3.7,10.35,,,,,
365,07/20/21 12:29:00 PM,1.9,10.34,,,,,
366,07/20/21 12:29:10 PM,1.9,10.34,,,,,
367,07/20/21 12:29:20 PM,3.7,10.33,,,,,
368,07/20/21 12:29:30 PM,1.8,10.34,,,,,
369,07/20/21 12:29:40 PM,1.8,10.34,,,,,
370,07/20/21 12:29:50 PM,3.4,10.33,,,,,
371,07/20/21 12:30:00 PM,1.8,10.31,,,,,
372,07/20/21 12:30:10 PM,1.8,10.30,,,,,
373,07/20/21 12:30:20 PM,1.8,10.33,,,,,
374,07/20/21 12:30:30 PM,3.4,10.33,,,,,
375,07/20/21 12:30:40 PM,1.9,10.34,,,,,
376,07/20/21 12:30:50 PM,1.8,10.33,,,,,
377,07/20/21 12:31:00 PM,1.8,10.33,,,,,
378,07/20/21 12:31:10 PM,1.9,10.34,,,,,
379,07/20/21 12:31:20 PM,1.9,10.34,,,,,
380,07/20/21 12:31:30 PM,1.8,10.34,,,,,
381,07/20/21 12:31:40 PM,1.8,10.35,,,,,
382,07/20/21 12:31:50 PM,3.7,10.35,,,,,
383,07/20/21 12:32:00 PM,3.7,10.35,,,,,
384,07/20/21 12:32:10 PM,1.9,10.36,,,,,
385,07/20/21 12:32:20 PM,1.8,10.38,,,,,
386,07/20/21 12:32:30 PM,3.4,10.39,,,,,
387,07/20/21 12:32:40 PM,1.8,10.39,,,,,
388,07/20/21 12:32:50 PM,1.8,10.40,,,,,
389,07/20/21 12:33:00 PM,1.8,10.41,,,,,
390,07/20/21 12:33:10 PM,1.8,10.42,,,,,
391,07/20/21 12:33:20 PM,1.8,10.42,,,,,
392,07/20/21 12:33:30 PM,1.8,10.41,,,,,
393,07/20/21 12:33:40 PM,1.8,10.41,,,,,
394,07/20/21 12:33:50 PM,1.8,10.44,,,,,
395,07/20/21 12:34:00 PM,1.8,10.44,,,,,
396,07/20/21 12:34:10 PM,1.8,10.45,,,,,
397,07/20/21 12:34:20 PM,1.9,10.45,,,,,
398,07/20/21 12:34:30 PM,1.8,10.45,,,,,
399,07/20/21 12:34:40 PM,3.7,10.45,,,,,
400,07/20/21 12:34:50 PM,1.9,10.45,,,,,
401,07/20/21 12:35:00 PM,1.8,10.44,,,,,
402,07/20/21 12:35:10 PM,3.4,10.42,,,,,
403,07/20/21 12:35:20 PM,1.9,10.42,,,,,
404,07/20/21 12:35:30 PM,1.9,10.42,,,,,
405,07/20/21 12:35:40 PM,1.8,10.41,,,,,
406,07/20/21 12:35:50 PM,1.9,10.41,,,,,
407,07/20/21 12:36:00 PM,1.9,10.39,,,,,
408,07/20/21 12:36:10 PM,1.8,10.38,,,,,
409,07/20/21 12:36:20 PM,3.4,10.35,,,,,
410,07/20/21 12:36:30 PM,3.4,10.34,,,,,
411,07/20/21 12:36:40 PM,1.8,10.34,,,,,
412,07/20/21 12:36:50 PM,1.8,10.35,,,,,
413,07/20/21 12:37:00 PM,3.7,10.35,,,,,
414,07/20/21 12:37:10 PM,1.8,10.35,,,,,
415,07/20/21 12:37:20 PM,1.9,10.36,,,,,
416,07/20/21 12:37:30 PM,1.8,10.35,,,,,
417,07/20/21 12:37:40 PM,1.9,10.36,,,,,
418,07/20/21 12:37:50 PM,3.7,10.36,,,,,
419,07/20/21 12:38:00 PM,1.8,10.36,,,,,
420,07/20/21 12:38:10 PM,1.3,10.39,,,,,
421,07/20/21 12:38:20 PM,1.8,10.39,,,,,
422,07/20/21 12:38:30 PM,1.8,10.40,,,,,
423,07/20/21 12:38:40 PM,1.9,10.40,,,,,
424,07/20/21 12:38:50 PM,1.8,10.41,,,,,
425,07/20/21 12:39:00 PM,1.8,10.40,,,,,
426,07/20/21 12:39:10 PM,1.8,10.41,,,,,
427,07/20/21 12:39:20 PM,1.9,10.41,,,,,
428,07/20/21 12:39:30 PM,1.9,10.41,,,,,
